latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
46.75,23.625,349.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),apparent_temperature (°C),is_day (),wind_speed_10m (km/h),wind_direction_10m (°),wind_gusts_10m (km/h),precipitation (mm),rain (mm),showers (mm),snowfall (cm),weather_code (wmo code),cloud_cover (%),pressure_msl (hPa),surface_pressure (hPa)
2026-05-22T11:15,19.3,70,18.4,1,15.1,320,35.6,0.00,0.00,0.00,0.00,2,82,1022.2,981.5

time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),precipitation_probability (%),evapotranspiration (mm),wind_speed_10m (km/h),wind_speed_80m (km/h),wind_speed_120m (km/h),wind_speed_180m (km/h),wind_direction_10m (°),wind_direction_80m (°),wind_direction_120m (°),wind_direction_180m (°),wind_gusts_10m (km/h),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),soil_temperature_0cm (°C),soil_temperature_6cm (°C),soil_temperature_18cm (°C),soil_temperature_54cm (°C),soil_moisture_0_to_1cm (m³/m³),soil_moisture_1_to_3cm (m³/m³),soil_moisture_3_to_9cm (m³/m³),soil_moisture_9_to_27cm (m³/m³),soil_moisture_27_to_81cm (m³/m³),shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²),global_tilted_irradiance (W/m²),terrestrial_radiation (W/m²),shortwave_radiation_instant (W/m²),direct_radiation_instant (W/m²),diffuse_radiation_instant (W/m²),direct_normal_irradiance_instant (W/m²),global_tilted_irradiance_instant (W/m²),terrestrial_radiation_instant (W/m²)
2026-05-15T00:00,7.1,85,0.00,0,0.01,5.1,8.1,10.0,14.3,176,167,167,170,14.8,100,0,0,100,6.6,9.6,12.6,12.7,0.254,0.256,0.264,0.291,0.303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-15T01:00,6.7,86,0.00,0,0.01,5.1,7.8,9.2,12.7,172,158,159,165,13.7,100,0,0,100,6.3,9.2,12.3,12.7,0.254,0.257,0.264,0.291,0.303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-15T02:00,6.4,88,0.00,0,0.01,4.8,6.8,8.2,11.2,167,148,151,159,13.0,100,0,0,100,6.0,8.8,12.1,12.7,0.255,0.257,0.265,0.290,0.303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-15T03:00,6.0,90,0.00,0,-0.00,4.5,7.1,9.2,11.9,166,135,138,151,12.6,100,0,0,100,5.6,8.4,11.8,12.7,0.256,0.258,0.265,0.290,0.303,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,11.5
2026-05-15T04:00,7.0,87,0.00,0,0.01,4.3,8.9,10.7,13.7,156,137,140,150,12.2,100,0,0,100,7.4,8.4,11.5,12.7,0.256,0.258,0.266,0.289,0.303,44.0,6.0,38.0,58.7,44.0,121.0,84.6,11.5,73.0,112.8,84.6,232.6
2026-05-15T05:00,9.9,80,0.00,0,0.02,2.9,8.7,10.7,13.5,120,132,140,151,11.2,100,0,9,100,11.5,9.2,11.3,12.6,0.257,0.259,0.266,0.289,0.303,168.0,70.0,98.0,270.8,168.0,346.2,222.9,92.9,130.0,359.3,222.9,459.3
2026-05-15T06:00,12.3,67,0.00,0,0.08,6.0,8.1,9.7,13.5,115,122,135,151,18.7,100,0,27,100,14.6,10.5,11.2,12.6,0.256,0.259,0.266,0.288,0.303,326.0,169.0,157.0,397.6,326.0,569.2,387.2,200.7,186.5,472.3,387.2,676.1
2026-05-15T07:00,13.7,64,0.00,0,0.16,8.0,10.8,11.0,11.5,126,127,128,129,22.7,100,0,100,100,16.6,12.3,11.3,12.6,0.254,0.258,0.266,0.288,0.303,452.0,222.0,230.0,383.6,452.0,774.9,506.5,248.8,257.7,429.9,506.5,868.4
2026-05-15T08:00,14.7,62,0.00,0,0.22,10.0,14.0,14.3,14.5,131,134,135,136,25.6,100,0,97,100,17.5,13.7,11.5,12.6,0.251,0.256,0.265,0.287,0.302,531.0,205.0,326.0,289.2,531.0,949.3,572.2,220.9,351.3,311.6,572.2,1022.9
2026-05-15T09:00,16.3,57,0.00,0,0.28,11.2,15.3,16.1,16.1,135,137,138,138,27.7,100,0,100,100,19.9,15.0,11.7,12.6,0.248,0.255,0.265,0.286,0.302,673.0,361.0,312.0,447.4,673.0,1080.5,703.4,377.3,326.1,467.6,703.4,1129.3
